engine,trial,latency_ms,peak_mb
C,0,58.614,12.879
C,1,54.261,12.879
C,2,60.865,12.879
C,3,50.989,12.879
C,4,58.653,12.879
C,5,51.865,12.879
C,6,64.152,12.879
C,7,51.691,12.879
C,8,68.887,12.879
C,9,51.683,12.879
C,10,58.597,12.879
C,11,50.878,12.879
C,12,59.611,12.879
C,13,51.275,12.879
C,14,60.145,12.879
C,15,52.978,12.879
C,16,57.799,12.879
C,17,51.772,12.879
C,18,58.776,12.879
C,19,50.964,12.879
C,20,57.980,12.879
C,21,50.646,12.879
C,22,60.846,12.879
C,23,52.405,12.879
C,24,52.896,12.879
C,25,51.204,12.879
C,26,53.298,12.879
C,27,50.770,12.879
C,28,52.474,12.879
C,29,50.684,12.879
Python,0,296.435,26.152
Python,1,296.521,26.070
Python,2,314.365,26.086
Python,3,299.264,26.090
Python,4,289.257,26.152
Python,5,293.329,26.156
Python,6,297.760,26.090
Python,7,299.967,26.125
Python,8,297.940,26.074
Python,9,297.873,26.086
Python,10,298.006,26.066
Python,11,300.222,26.152
Python,12,295.461,26.125
Python,13,298.273,26.152
Python,14,350.364,26.086
Python,15,312.263,26.090
Python,16,313.433,26.051
Python,17,340.415,26.086
Python,18,295.334,26.129
Python,19,303.625,26.090
Python,20,345.698,26.137
Python,21,311.325,26.090
Python,22,301.114,26.094
Python,23,316.634,26.191
Python,24,299.885,26.121
Python,25,289.876,26.074
Python,26,300.514,26.094
Python,27,296.158,26.152
Python,28,294.303,26.160
Python,29,290.456,26.125
